Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
55000.0,2.0,1222.0,13.0,16.0,1980.0,45.0,42.613882863340564,11.0,Райдужна,8.613882863340564
138000.0,2.0,1811.0,3.0,15.0,2014.0,80.16498316498317,42.613882863340564,15.907786885245901,Ломоносова,21.643313416396705
105000.0,2.0,1504.0,4.0,25.0,2014.0,80.16498316498317,42.613882863340564,15.907786885245901,Гусовського,21.643313416396705
66016.1,1.0,1784.2,9.55521472392638,17.624233128834355,1996.3073852295408,37.0,42.613882863340564,15.907786885245901,Гусовського,21.521669748586465
284000.0,2.0,2812.0,7.0,11.0,2004.0,101.0,42.613882863340564,15.907786885245901,Гусовського,42.47833025141354
155000.0,3.0,1550.0,13.0,23.0,2006.0,100.0,42.613882863340564,15.907786885245901,Окіпної,41.47833025141354
49899.0,1.0,1386.0,1.0,9.0,1978.0,36.0,18.0,7.0,Багговутівська,11.0
95000.0,2.0,1696.0,9.0,9.0,1966.0,56.0,34.0,8.0,Дружби Народів,14.0
380000.0,3.0,3585.0,9.0,21.0,2019.0,106.0,42.613882863340564,15.907786885245901,Маккейна,47.47833025141354
46000.0,2.0,913.0,1.0,4.0,1996.3073852295408,80.16498316498317,30.0,12.0,Маланюка,38.16498316498317
60150.0,1.0,1504.0,21.0,26.0,1996.3073852295408,40.0,14.0,20.0,Михайла Котельникова,6.0
185000.0,3.0,1745.0,8.0,25.0,2016.0,106.0,42.613882863340564,38.0,Героїв Севастополя,25.386117136659436
81000.0,2.0,964.0,18.0,26.0,2020.0,84.0,37.0,17.0,Маланюка,30.0
620000.0,3.0,4769.0,4.0,15.0,2017.0,130.0,66.0,16.0,Саперне Поле,48.0
48700.0,1.0,991.0,19.0,25.0,1996.3073852295408,80.16498316498317,42.613882863340564,15.907786885245901,Балтійський,21.643313416396705
234000.0,3.0,2000.0,7.0,15.0,1996.3073852295408,117.0,76.0,12.0,Кудрявська,29.0
135000.0,2.0,2523.0,28.0,34.0,2018.0,80.16498316498317,42.613882863340564,15.907786885245901,Перемоги,21.643313416396705
130000.0,2.0,2600.0,1.0,5.0,1964.0,50.0,42.613882863340564,12.0,Німанська,4.613882863340564
54100.0,1.0,1339.0,4.0,26.0,2018.0,80.16498316498317,42.613882863340564,15.907786885245901,Каховська,21.643313416396705
239000.0,3.0,3025.0,3.0,7.0,1954.0,79.0,44.0,13.0,Малопідвальна,22.0
140000.0,2.0,2188.0,10.0,14.0,1996.3073852295408,64.0,34.0,15.0,Невська,15.0
128000.0,2.0,2612.0,5.0,14.0,2015.0,49.0,14.0,17.0,Златоустівська,18.0
31000.0,1.0,1107.0,9.0,9.0,1986.0,28.0,13.0,6.0,Берковецька,9.0
41187.0,1.0,936.0,3.0,13.0,1996.3073852295408,44.0,19.0,11.0,Берковецька,14.0
120000.0,3.0,1188.0,11.0,16.0,1998.0,101.0,42.613882863340564,14.0,Бажана,44.386117136659436
740000.0,1.0,2772.0,20.0,24.0,2019.0,267.0,150.0,75.0,Антоновича,42.0
180000.0,3.0,2400.0,3.0,8.0,1990.0,75.0,41.0,9.0,Гречка,25.0
63000.0,3.0,900.0,1.0,9.0,1973.0,70.0,41.0,8.0,Гречка,21.0
